id,title,authors,year,venue,search_string,v1_decision,v1_reason
64,CAIN '24: Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI,"Jane Cleland-Huang, Jan Bosch, Henry Muccini, Grace Lewis",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
65,ICSE-SEET '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,"Ana Paiva, Rui Abreu, Kiev Gama, Janet Siegmund, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
66,HRI Companion '26: Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,"Lynne Baillie, William D. Smart, Maartje De Graaf, + 2",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
67,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,"599 Citation 80,144 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
68,Author’s Biography/Index,Don Batory,2026,Science of Software Product LinesMarch 2026https://doi.org/10.1145/3731302.3731332,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
69,SAC '23: Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,"Jiman Hong, Maart Lanperne, Juw Won Park, Tomas Cerny, + 1",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
70,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"Ana Paiva, Rui Abreu, Abhik Roychoudhury, Margaret Storey",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
71,SBES '23: Proceedings of the XXXVII Brazilian Symposium on Software Engineering,"244 Citation 17,264 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
72,Annotating Slack Directly on Your Verilog: Fine-Grained RTL Timing Evaluation for Early Optimization,"Wenji Fang, Shang Liu, Hongce Zhang, Zhiyao Xie",2026,"DAC '24: Proceedings of the 61st ACM/IEEE Design Automation ConferenceArticle No.: 62, Pages 1–6https://doi.org/10.1145/3649329.3655671",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
73,KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,"Luiza Antonie, Jian Pei, Xiaohui Yu, Hady W. Lauw, + 7",2026,ACM Digital Library,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
