id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
57,Um experimento comparativo da eficácia de diferentes LLM na geração de cenários Gherkin.,HNF SOUSA,2025,dspace.sti.ufcg.edu.br,String A,INCLUDE,,,
58,Exploring large language models for requirements on string values,"AA Babikian, B Chen… - … RElevant Requirements …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
59,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,"SS Murugan, M Balamurugan - 2025 6th International …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
60,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024,erepo.uef.fi,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
61,Towards Automating User Story Classification with Large Language Models Using a Reuse-Oriented Taxonomy,"CEM de Souza, M Perkusich… - Simpósio Brasileiro de …, 2025",2026,sol.sbc.org.br,String A,INCLUDE,,,
62,VeriGen: An LLM-Augmented Framework for End-to-End Automation of Software Development Lifecycle-From Requirements Specifications to Code Generation,"MA Ahmed, MW Anwar, WH Butt, F Azam - IEEE Access, 2026",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
63,GUIDE: A Framework for Improving Functional Software Test Descriptions with Language Models,"M Ronzon, T Roger, Z Miklos… - Proceedings of the 8th …, 2025",2026,aclanthology.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
64,GenAI-based test case generation and execution in SDV platform,"D Zyberaj, L Mazur, N Petrovic, P Verma… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
65,Enhancing security control production with generative AI,"C Ling, M Ghashami, V Gao, A Torkamani… - arXiv preprint arXiv …, 2024",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
66,Large Language Model (LLM)-Based Automation for Software Test Script Generation,"S Kavuri - Computer Fraud & Security, 2022",2026,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
67,Human-LLM Collaborations for Modeling Requirements-Based Testing: An Initial Investigation,A Golla,2026,rave.ohiolink.edu,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
68,"Agile, development, testing: a rant that ends with ChatGPT",N Bartunek,2026,dev.to,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
69,Impact of Large Language Models on Software Development Team's Work Processes: A Case Study of Product-Based Software Development Company,"E Adebayo, K Simakina",2025,diva-portal.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
70,Interlinking user stories and GUI prototyping: A semi-automatic LLM-based approach,"K Kolthoff, F Kretzer, C Bartelt… - … Requirements …, 2024",2026,ieeexplore.ieee.org,String A,UNSURE,Không rõ bài nghiên cứu có số liệu kết quả thực nghiệm chi tiết không,,
71,XTestGen: Natural Language to Maintainable E2E Test Scripts with LLMs,"H Kirinuki, M Tajima… - 2025 IEEE International …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
72,PROMPTING STRATEGIES FOR LARGE LANGUAGE MODELS IN REQUIREMENTS ELICITATION,N Ali,2025,trepo.tuni.fi,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
73,Automated test plan generation using large language models,"S Haldar, LF Capretz - Software Quality Journal, 2026",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
74,Integrating the capabilities offered by large language models into the requirements engineering process,"A Stein, A Mirzai, J Axmann, T Vietor - Digital Engineering, 2026",2026,Elsevier,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
75,Optimizing the creation and maintenance of automated end-to-end tests for web application testing,T Maunu,2025,aaltodoc.aalto.fi,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
76,Transforming user story definition: From deterministic to AI-powered automation.,"AP AVASILOAIE, A SEMENESCU… - Romanian Journal of …, 2025",2026,rria.ici.ro,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
77,Large language model-brained gui agents: A survey,"C Zhang, S He, J Qian, B Li, L Li, S Qin, Y Kang… - arXiv preprint arXiv …, 2024",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
78,Designing a Domain-Specific Language to Address Challenges in Automated Web Testing,"M Widell, P Sadrian - LU-CS-EX, 2025",2026,lup.lub.lu.se,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
79,Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution,"D Zyberaj, L Mazur, P Hirmer, N Petrovic… - arXiv preprint arXiv …, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
80,Evaluasi Teknik Prompting pada Large Language Model untuk Otomatisasi Penyusunan Skenario Unit Testing Smart Contract,"S El Farisi, FA Marva - Jurnal Teknologi Informasi dan …, 2026",2026,journal.sekawan-org.id,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
81,Project Prometheus: Bridging the Intent Gap in Agentic Program Repair via Reverse-Engineered Executable Specifications,"Y Wang, Z Huang - arXiv preprint arXiv:2604.17464, 2026",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
82,AI driven Test Scenario Generator,"A Chatterjee - 2025 5th International Conference on …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
83,AutoQALLMs: Automating Web Application Testing Using Large Language Models (LLMs) and Selenium,"S Mallipeddi, M Yaqoob, JA Khan, T Mehmood… - Computers, 2025",2026,mdpi.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
84,Automatic user story generation: a comprehensive systematic literature review,"CA dos Santos, K Bouchard… - International Journal of …, 2025",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
85,Towards autoformalization of llm-generated outputs for requirement verification,"M Gupte - arXiv preprint arXiv:2511.11829, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
86,"Finding Duplicates in 1.1 M BDD Steps: cukereuse, a Paraphrase-Robust Static Detector for Cucumber and Gherkin","AH Mughal, N Fatima, M Bilal - arXiv preprint arXiv:2604.20462, 2026",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
87,Context-Aware Behavior-Driven Pipeline Generation,"P Gunathilaka, D Senadheera, S Perara… - … on Digital Forensics …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
88,Api test case generation by extracting http requests during front-end testing,"YJ Guo, SP Ma, HJ Peng, YS Su - 2024 IEEE International …, 2024",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
89,"Systems, Software and Services Process Improvement: 32nd European Conference, EuroSPI 2025, Riga, Latvia, September 17–19, 2025, Proceedings, Part I","M Yilmaz, P Clarke, A Riel, R Messnarz, M Zelmenis…",2025,books.google.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
90,How I Used GPT-4 to Automatically Generate Test Cases from Functional Requirements in Healthcare Apps,PR Poola,2025,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
91,Intelligent test case generation from textual security requirements in SCRUM: an NLP-driven approach,"C Taras, Z Myroslav",2025,science.lpnu.ua,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
92,Tracking the Evolution of Large Language Models in Requirements Elicitation and Analysis,"A Panigo, KP Bankoff, A Pasini, P Pesado - Argentine Congress of …, 2024",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
93,Analyzing User Story Quality: A Systematic Review of Common Issues and Solutions.,"JV Oliveira, LM Fontoura - ICEIS (2), 2025",2026,scitepress.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
94,Cypress copilot: Development of an AI assistant for boosting productivity and transforming web application testing,"SB Nettur, S Karpurapu, U Nettur, LS Gajja - IEEE Access, 2024",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
